"date","district","primary_type","arrest","domestic","case_number"
"2018-01-01T00:00:00.000","008","SEX OFFENSE","false","false","JB380346"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JE205598"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JF521163"
"2018-01-01T00:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB105519"
"2018-01-01T00:00:00.000","008","SEX OFFENSE","false","true","JJ163501"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","true","true","JF227854"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JF166853"
"2018-01-01T00:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB502882"
"2018-01-01T00:00:00.000","008","SEX OFFENSE","false","true","JG269452"
"2018-01-01T00:00:00.000","008","BATTERY","false","true","JC312141"
"2018-01-01T00:00:00.000","008","CRIMINAL SEXUAL ASSAULT","false","true","JH228651"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","true","true","JG548576"
"2018-01-01T00:00:00.000","008","ASSAULT","false","false","JB346519"
"2018-01-01T00:00:00.000","008","DECEPTIVE PRACTICE","false","false","JF111490"
"2018-01-01T00:00:00.000","008","BATTERY","false","true","JB100230"
"2018-01-01T00:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB166453"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JD341715"
"2018-01-01T00:00:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JH154448"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JB293967"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JB299011"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JB244585"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JF284585"
"2018-01-01T00:01:00.000","008","SEX OFFENSE","false","true","JB202960"
"2018-01-01T00:01:00.000","008","BATTERY","false","true","JC194545"
"2018-01-01T00:01:00.000","008","SEX OFFENSE","false","false","JD166239"
"2018-01-01T00:01:00.000","008","SEX OFFENSE","false","true","JB526564"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JE233886"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JB167868"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JB258066"
"2018-01-01T00:01:00.000","008","OFFENSE INVOLVING CHILDREN","false","true","JD468022"
"2018-01-01T00:10:00.000","008","BATTERY","true","false","JB100045"
"2018-01-01T01:00:00.000","008","MOTOR VEHICLE THEFT","false","false","JB101067"
"2018-01-01T01:00:00.000","008","BATTERY","false","true","JC426866"
"2018-01-01T01:40:00.000","008","ASSAULT","false","true","JB100099"
"2018-01-01T01:45:00.000","008","BATTERY","false","true","JB100124"
"2018-01-01T02:00:00.000","008","BATTERY","false","false","JB100214"
"2018-01-01T02:45:00.000","008","BATTERY","false","true","JB100181"
"2018-01-01T03:10:00.000","008","THEFT","false","false","JB101466"
"2018-01-01T05:05:00.000","008","BATTERY","true","true","JB100271"
"2018-01-01T05:20:00.000","008","BATTERY","true","true","JB100284"
"2018-01-01T06:00:00.000","008","BATTERY","false","true","JB100414"
"2018-01-01T06:00:00.000","008","MOTOR VEHICLE THEFT","false","false","JB100304"
"2018-01-01T06:01:00.000","008","BATTERY","false","true","JB100301"
"2018-01-01T08:00:00.000","008","CRIMINAL DAMAGE","false","false","JB101679"
"2018-01-01T08:00:00.000","008","SEX OFFENSE","false","false","JD159597"
"2018-01-01T08:00:00.000","008","OTHER OFFENSE","false","true","JB100580"
"2018-01-01T08:00:00.000","008","OTHER OFFENSE","false","true","JB110646"
"2018-01-01T08:00:00.000","008","CRIMINAL SEXUAL ASSAULT","true","true","JE165986"
"2018-01-01T08:00:00.000","008","SEX OFFENSE","true","false","JH214051"
"2018-01-01T08:35:00.000","008","BATTERY","false","true","JB100384"
"2018-01-01T09:00:00.000","008","BURGLARY","false","false","JB104275"
"2018-01-01T09:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB337762"
"2018-01-01T09:00:00.000","008","THEFT","false","false","JB208296"
"2018-01-01T09:30:00.000","008","DECEPTIVE PRACTICE","false","false","JG414681"
"2018-01-01T09:40:00.000","008","THEFT","true","false","JB100462"
"2018-01-01T09:55:00.000","008","BATTERY","false","true","JB100439"
"2018-01-01T10:00:00.000","008","OTHER OFFENSE","false","true","JB133779"
"2018-01-01T10:00:00.000","008","ASSAULT","false","true","JB100469"
"2018-01-01T10:00:00.000","008","OTHER OFFENSE","false","false","JD224658"
"2018-01-01T12:00:00.000","008","THEFT","false","false","JB294341"
"2018-01-01T12:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB129190"
"2018-01-01T12:00:00.000","008","DECEPTIVE PRACTICE","false","false","JC183043"
"2018-01-01T12:00:00.000","008","SEX OFFENSE","false","false","JG503965"
"2018-01-01T14:00:00.000","008","ASSAULT","false","false","JB100671"
"2018-01-01T15:25:00.000","008","ASSAULT","false","false","JB102342"
"2018-01-01T16:53:00.000","008","CRIMINAL DAMAGE","false","false","JB100844"
"2018-01-01T17:43:00.000","008","BATTERY","false","false","JB100916"
"2018-01-01T17:50:00.000","008","ASSAULT","false","false","JB100940"
"2018-01-01T18:40:00.000","008","ROBBERY","false","false","JB100969"
"2018-01-01T20:00:00.000","008","MOTOR VEHICLE THEFT","false","false","JB101294"
"2018-01-01T20:40:00.000","008","NARCOTICS","true","false","JB101055"
"2018-01-01T21:30:00.000","008","CRIMINAL DAMAGE","false","false","JB101507"
"2018-01-01T21:59:00.000","008","BATTERY","false","true","JB101085"
"2018-01-01T22:00:00.000","008","CRIMINAL DAMAGE","false","false","JB101645"
"2018-01-02T00:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB127751"
"2018-01-02T02:00:00.000","008","BATTERY","false","false","JB101177"
"2018-01-02T02:05:00.000","008","BATTERY","false","true","JB101215"
"2018-01-02T05:00:00.000","008","CRIMINAL DAMAGE","false","false","JB102065"
"2018-01-02T05:30:00.000","008","OTHER OFFENSE","true","false","JB104150"
"2018-01-02T08:00:00.000","008","CRIM SEXUAL ASSAULT","true","false","JB101279"
"2018-01-02T08:30:00.000","008","ASSAULT","true","true","JB101322"
"2018-01-02T10:30:00.000","008","THEFT","false","true","JB102800"
"2018-01-02T10:30:00.000","008","CRIMINAL DAMAGE","false","false","JB102970"
"2018-01-02T11:00:00.000","008","CRIMINAL DAMAGE","false","false","JB101535"
"2018-01-02T11:20:00.000","008","ROBBERY","false","false","JB101505"
"2018-01-02T11:22:00.000","008","ROBBERY","false","false","JB101512"
"2018-01-02T11:25:00.000","008","ASSAULT","false","false","JB101485"
"2018-01-02T11:55:00.000","008","ASSAULT","false","false","JB101546"
"2018-01-02T12:10:00.000","008","BATTERY","false","false","JB101550"
"2018-01-02T13:45:00.000","008","MOTOR VEHICLE THEFT","false","false","JB101704"
"2018-01-02T13:53:00.000","008","PUBLIC PEACE VIOLATION","true","false","JB101798"
"2018-01-02T15:00:00.000","008","BATTERY","true","true","JB101807"
"2018-01-02T15:04:00.000","008","CRIMINAL TRESPASS","true","false","JB101847"
"2018-01-02T15:40:00.000","008","THEFT","false","false","JB101949"
"2018-01-02T16:30:00.000","008","CRIMINAL DAMAGE","true","true","JB101929"
"2018-01-02T16:57:00.000","008","THEFT","false","false","JB101946"
"2018-01-02T18:00:00.000","008","CRIMINAL DAMAGE","false","false","JB102542"
"2018-01-02T18:04:00.000","008","BATTERY","true","false","JB102067"
"2018-01-02T19:00:00.000","008","THEFT","false","false","JB103377"
"2018-01-02T19:00:00.000","008","DECEPTIVE PRACTICE","false","false","JB102248"
"2018-01-02T19:12:00.000","008","THEFT","false","false","JB103033"
"2018-01-02T19:26:00.000","008","BURGLARY","false","false","JB103246"
"2018-01-02T19:30:00.000","008","THEFT","false","false","JB103800"
"2018-01-02T20:30:00.000","008","ROBBERY","false","false","JB102261"
"2018-01-02T21:10:00.000","008","ROBBERY","false","false","JB102321"
"2018-01-02T22:00:00.000","008","CRIMINAL DAMAGE","false","false","JB102678"
"2018-01-02T22:00:00.000","008","CRIMINAL DAMAGE","false","false","JB102709"
"2018-01-02T23:00:00.000","008","CRIMINAL DAMAGE","false","false","JB102856"
